date,ticker,marketCap,size_category,Total Cash From Operating Activities,Net Income,Depreciation And Amortization,Change In Working Capital,Total Revenue,Gross Profit,Operating Income,Total Assets,Accounts Receivable,Inventory,Accounts Payable
2024-01-31,ADSK,68773437440,Large-Cap,,,,,,,,,,,
2024-04-30,ADSK,68773437440,Large-Cap,,,,,,,,,,,
2024-07-31,ADSK,68773437440,Large-Cap,,282000000.0,46000000.0,-289000000.0,1505000000.0,1365000000.0,343000000.0,9960000000.0,402000000.0,,174000000.0
2024-10-31,ADSK,68773437440,Large-Cap,,275000000.0,48000000.0,-324000000.0,1570000000.0,1423000000.0,346000000.0,10133000000.0,702000000.0,,217000000.0
2025-01-31,ADSK,68773437440,Large-Cap,,303000000.0,46000000.0,136000000.0,1639000000.0,1485000000.0,381000000.0,10833000000.0,1008000000.0,,242000000.0
2025-04-30,ADSK,68773437440,Large-Cap,,152000000.0,48000000.0,-77000000.0,1633000000.0,1473000000.0,338000000.0,10585000000.0,494000000.0,,277000000.0
2025-07-31,ADSK,68773437440,Large-Cap,,313000000.0,47000000.0,-249000000.0,1763000000.0,1604000000.0,450000000.0,10856000000.0,532000000.0,,324000000.0
2023-12-31,AEE,27608852480,Large-Cap,,,,,,,,,,,
2024-03-31,AEE,27608852480,Large-Cap,,,,,,,,,,,
2024-06-30,AEE,27608852480,Large-Cap,,258000000.0,401000000.0,-127000000.0,1693000000.0,868000000.0,361000000.0,42334000000.0,514000000.0,740000000.0,774000000.0
2024-09-30,AEE,27608852480,Large-Cap,,456000000.0,403000000.0,-93000000.0,2173000000.0,1124000000.0,586000000.0,43298000000.0,651000000.0,792000000.0,717000000.0
2024-12-31,AEE,27608852480,Large-Cap,,207000000.0,404000000.0,237000000.0,1941000000.0,794000000.0,198000000.0,44598000000.0,525000000.0,762000000.0,1059000000.0
2025-03-31,AEE,27608852480,Large-Cap,,289000000.0,415000000.0,-393000000.0,2097000000.0,941000000.0,430000000.0,45665000000.0,667000000.0,669000000.0,702000000.0
2025-06-30,AEE,27608852480,Large-Cap,,275000000.0,398000000.0,139000000.0,2221000000.0,928000000.0,411000000.0,46625000000.0,567000000.0,738000000.0,882000000.0
2023-12-31,AEP,58367500288,Large-Cap,,,,,,,,,,,
2024-03-31,AEP,58367500288,Large-Cap,,,,,,,,,,,
2024-06-30,AEP,58367500288,Large-Cap,,340300000.0,821900000.0,-181600000.0,4579200000.0,2859200000.0,826400000.0,99622600000.0,1081100000.0,1763000000.0,2331500000.0
2024-09-30,AEP,58367500288,Large-Cap,,959600000.0,852700000.0,-81100000.0,5420100000.0,3417200000.0,1351500000.0,100119100000.0,963600000.0,1685700000.0,2265600000.0
2024-12-31,AEP,58367500288,Large-Cap,,664100000.0,931100000.0,949100000.0,4696300000.0,3051100000.0,1095600000.0,103078000000.0,1100100000.0,1715100000.0,2637600000.0
2025-03-31,AEP,58367500288,Large-Cap,,800200000.0,833400000.0,-126400000.0,5463400000.0,3292000000.0,1284200000.0,104394600000.0,1119300000.0,1582200000.0,2380800000.0
